Review_ID;Rating;Year;Month;Reviewer_Location;Branch;Latitud;Longuitud
117240638;5;2010;10;Australia;Disneyland HongKong;-24.7761086;134.755
115943450;4;2010;10;Philippines;Disneyland HongKong;12.7503486;122.7312101
115707154;5;2010;10;United Arab Emirates;Disneyland HongKong;24.0002488;53.9994829
114262227;5;2010;10;Australia;Disneyland HongKong;-24.7761086;134.755
105032785;4;2010;10;United Kingdom;Disneyland HongKong;54.7023545;-3.2765753
118058014;4;2010;10;Singapore;Disneyland HongKong;1.357107;103.8194992
118013387;5;2010;10;India;Disneyland HongKong;22.3511148;78.6677428
118010038;5;2010;10;Malaysia;Disneyland HongKong;4.5693754;102.2656823
117990655;4;2010;10;Australia;Disneyland HongKong;-24.7761086;134.755
116603111;5;2010;10;India;Disneyland HongKong;22.3511148;78.6677428
115918375;4;2010;10;United States;Disneyland HongKong;39.7837304;-100.445882
113951461;5;2010;10;Canada;Disneyland HongKong;61.0666922;-107.991707
112342838;5;2010;10;Australia;Disneyland HongKong;-24.7761086;134.755
91799423;5;2010;10;Philippines;Disneyland HongKong;12.7503486;122.7312101
118459970;5;2010;10;Australia;Disneyland HongKong;-24.7761086;134.755
118189748;3;2010;10;United Kingdom;Disneyland HongKong;54.7023545;-3.2765753
115897708;5;2010;10;United Kingdom;Disneyland HongKong;54.7023545;-3.2765753
111469647;5;2010;10;Australia;Disneyland HongKong;-24.7761086;134.755
92338628;5;2010;10;Hong Kong;Disneyland HongKong;22.350627;114.1849161
119792879;3;2010;11;United Kingdom;Disneyland HongKong;54.7023545;-3.2765753
119745266;5;2010;11;United States;Disneyland HongKong;39.7837304;-100.445882
119555341;3;2010;11;United States;Disneyland HongKong;39.7837304;-100.445882
115914225;3;2010;11;Singapore;Disneyland HongKong;1.357107;103.8194992
97159880;3;2010;11;Australia;Disneyland HongKong;-24.7761086;134.755
95967660;5;2010;11;Hong Kong;Disneyland HongKong;22.350627;114.1849161
119863915;4;2010;11;Australia;Disneyland HongKong;-24.7761086;134.755
119857906;5;2010;11;Philippines;Disneyland HongKong;12.7503486;122.7312101
119767386;5;2010;11;United Kingdom;Disneyland HongKong;54.7023545;-3.2765753
119691659;5;2010;11;Australia;Disneyland HongKong;-24.7761086;134.755
119014673;5;2010;11;Australia;Disneyland HongKong;-24.7761086;134.755
118410372;5;2010;11;Australia;Disneyland HongKong;-24.7761086;134.755
118168437;5;2010;11;Australia;Disneyland HongKong;-24.7761086;134.755
116182178;5;2010;11;China;Disneyland HongKong;35.0000663;104.999955
115928441;5;2010;11;Australia;Disneyland HongKong;-24.7761086;134.755
114952929;5;2010;11;Australia;Disneyland HongKong;-24.7761086;134.755
107432003;5;2010;11;Australia;Disneyland HongKong;-24.7761086;134.755
93643796;5;2010;11;Australia;Disneyland HongKong;-24.7761086;134.755
119364933;4;2010;11;Hong Kong;Disneyland HongKong;22.350627;114.1849161
119090806;4;2010;11;United States;Disneyland HongKong;39.7837304;-100.445882
117845407;5;2010;11;Australia;Disneyland HongKong;-24.7761086;134.755
116093373;4;2010;11;Philippines;Disneyland HongKong;12.7503486;122.7312101
114835030;4;2010;11;United States;Disneyland HongKong;39.7837304;-100.445882
